Sample,POS_Blank1,POS_Blank2,POS_C_1h_01,POS_C_1h_02,POS_C_1h_03,POS_C_1h_04,POS_C_1h_05,POS_C_1h_06,POS_C_1h_07,POS_C_1h_08,POS_C_1h_09,POS_C_1h_10,POS_C_24h_01,POS_C_24h_02,POS_C_24h_03,POS_C_24h_04,POS_C_24h_05,POS_C_24h_06,POS_C_24h_07,POS_C_24h_08,POS_C_24h_09,POS_C_24h_10,POS_C_6h_01,POS_C_6h_02,POS_C_6h_03,POS_C_6h_04,POS_C_6h_05,POS_C_6h_06,POS_C_6h_07,POS_C_6h_08,POS_C_6h_09,POS_C_6h_10,POS_P_1h_01,POS_P_1h_02,POS_P_1h_03,POS_P_1h_04,POS_P_1h_05,POS_P_1h_06,POS_P_1h_07,POS_P_1h_08,POS_P_1h_09,POS_P_1h_10,POS_P_24h_01,POS_P_24h_02,POS_P_24h_03,POS_P_24h_04,POS_P_24h_05,POS_P_24h_06,POS_P_24h_07,POS_P_24h_08,POS_P_24h_09,POS_P_24h_10,POS_P_6h_01,POS_P_6h_02,POS_P_6h_03,POS_P_6h_04,POS_P_6h_05,POS_P_6h_06,POS_P_6h_07,POS_P_6h_08,POS_P_6h_09,POS_P_6h_10,POS_QC1_1,POS_QC1_10,POS_QC1_11,POS_QC1_12,POS_QC1_13,POS_QC1_2,POS_QC1_3,POS_QC1_4,POS_QC1_5,POS_QC1_6,POS_QC1_7,POS_QC1_8,POS_QC1_9
Label,Blank,Blank,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC
100.0008__175.29,213.80937,79.3907,1168.00809,49.14628,629.47181,34.36734,247.24962,95.12106,266.86281,415.82202,110.00673,442.15974,403.51964,183.82739,102.85396,890.2414,235.62163,204.70826,453.87846,367.66002,723.26116,381.70105,266.47776,287.25103,78.69799,475.37367,395.8049,303.34554,472.92829,194.67387,480.10948,191.92213,886.31346,1159.47367,784.1679,481.9348,267.20241,260.73663,98.13161,79.00667,225.82802,454.63916,119.55559,187.29765,113.7476,408.97988,479.04407,678.11228,198.85409,83.59601,903.92216,133.12512,361.48687,243.3811,347.31116,50.44426,54.09745,68.46499,239.67301,1322.35207,960.41833,550.92208,490.92541,203.36288,168.73342,147.32569,147.23799,173.37835,146.27896,368.84912,619.15606,182.80236,116.43548,160.02254,150.9631
100.1011__38.8,170.64494,53.00557,1455.27345,212.73941,3395.90916,1849.35538,80.89689,2022.19829,95.37953,3153.82274,57.61281,162.02907,1964.97069,1083.41143,1603.87393,44.70992,1380.08854,1436.12039,133.08566,150.35579,320.30167,221.22488,85.79035,1357.32807,435.3403,198.13058,207.98002,59.80728,110.88222,1378.06841,1838.30095,3064.74958,2070.27976,2209.23476,1560.09453,2035.69493,1327.79236,1077.98684,1784.08616,1239.57154,1139.72196,2184.83251,103.39761,1444.88438,564.40387,107.88359,1255.14255,38.49473,0,1409.2103,191.47602,275.547,0,973.92864,91.1284,383.61262,2273.78994,245.69078,166.49945,200.65435,100.23097,52.15582,58.97303,1790.29103,989.7066,0,1296.54276,1629.31108,1723.5931,195.29905,2470.49572,2511.77697,1526.63043,1166.59988,2342.3842
100.1123__513.33,150792.1387,184553.5299,205211.7475,166963.4199,75959.07667,125127.4711,227651.708,240500.2078,55825.74927,195731.658,235725.1209,100.56766,188540.8213,245851.0214,236789.3514,163663.3133,208519.1704,163576.7128,2188307.769,216017.206,183198.738,156104.9643,399.08186,223013.7253,153475.1191,91887.96962,169040.7348,568.27502,264.47715,135891.3417,167794.7502,172763.5792,132578.2448,406.31891,110641.9556,154700.6258,165601.6647,158062.7433,202816.4058,502.52597,223.50811,200127.8934,200263.7117,142795.9889,164661.812,145133.8676,275877.8205,211955.9985,147566.76,451.24841,161010.6319,198493.0739,167183.0729,170685.7579,141432.8079,152812.8426,216473.5811,191193.6997,155794.1129,113995.8837,132518.2888,141629.6047,217850.458,105032.4905,184874.5178,119008.4336,128085.798,238515.6178,265515.4054,221205.7768,159869.7677,147462.1643,174631.2698,159889.919,204634.4764
100.1127__427.07,120429.7585,105177.7279,94521.83537,99777.97429,136642.9859,79027.18131,114347.6373,162894.1535,134182.4025,146084.4339,101788.6306,128712.2578,246518.3474,113864.5138,358201.7236,139678.2324,233278.6135,120231.9827,119120.1557,152591.3873,119439.3984,310499.063,41.65022,135740.7655,128047.58,274465.5187,116051.1667,143109.9799,146128.9025,259721.309,127389.3736,136595.7226,134945.0356,138743.3878,117738.4098,134864.9401,121534.2406,149186.0446,100570.5113,119464.8153,124105.7963,183657.8469,104338.0684,291981.8295,100754.4125,247834.5279,164301.6737,92787.19872,248544.7674,150379.0983,141818.3105,74432.87366,130350.8281,291330.3127,104559.5551,115737.1297,85427.35029,121752.0369,283056.1031,93070.40312,157571.8991,117615.9188,215266.8794,249066.5554,97515.27539,210833.3309,230392.128,268832.7119,142792.6002,149344.9779,280141.9444,125965.4865,121008.6105,95680.73417,274390.1892
100.1129__343.62,104131.0467,144953.1789,159884.6531,147103.4804,168850.0251,159410.5176,140563.5832,220272.2385,125529.696,132765.9472,160216.3615,130903.2692,154443.0935,193011.9961,191871.7149,166999.4657,137039.2933,144779.7455,134176.6427,211542.487,215871.9348,195958.7453,183746.2456,206437.8365,162540.0298,161111.8692,135099.6398,128024.988,177728.0402,137162.0642,142784.6768,193669.2585,170416.9406,168744.9562,164327.6354,240716.3206,143306.0903,173196.1129,202701.353,125855.994,206.17584,174113.9578,118364.8069,145642.0534,118330.8886,151732.3005,168094.8531,107259.7293,152550.6266,238499.9688,138266.3732,123836.1926,206792.8739,173637.0749,168932.9236,133080.5452,130593.9963,120135.429,147457.4806,152642.8721,329262.0376,131163.3532,185768.9051,128749.6026,127102.2751,155866.3024,127213.8595,179216.4056,134140.3433,146124.0079,151554.3302,205033.4444,154385.4398,142252.9809,123521.1549
100.2967__264.77,148.22452,193.89741,201.57785,250.29135,232.44892,91.8865,354.69009,222.19462,155.75448,92.00627,130.45737,103.04388,154.9749,369.8385,334.86718,645.38792,151.34502,168.18986,596.91107,581.30512,133.17291,527.21105,384.77624,472.30986,107.94836,203.10237,57.36093,182.8242,294.98906,527.0791,21.88674,339.89009,261.35453,309.31579,516.9344,521.52344,219.87714,375.81815,484.94391,823.42807,124.83428,271.00886,162.42752,199.91649,188.45919,169.3485,177.51535,126.84884,89.59334,248.97666,151.02505,165.7496,461.08972,532.82902,90.55245,139.98527,862.96701,305.94035,324.86568,170.05869,202.8893,178.01646,708.54415,165.20024,258.45957,178.42803,73.72339,427.74463,254.82143,266.69586,151.52906,214.02376,212.88434,150.91242,158.36968
100.3974__173.46,486.74532,256.57441,339.54591,412.16961,257.37617,318.89594,417.87022,228.45349,95.39116,953.2002,221.16969,345.02255,98.89977,212.32828,608.77691,374.72836,307.62286,256.65592,228.06943,1121.96121,548.96414,647.27508,429.98231,103.65465,186.11439,317.53836,379.11205,229.40969,389.79523,329.95416,245.68887,1425.41052,465.77002,878.88514,361.35507,479.92577,423.01974,856.07565,370.86493,493.98312,804.39883,363.02045,242.24848,85.64196,51.04085,232.90692,528.62112,215.05234,411.08693,594.62832,649.11819,145.70531,372.27203,257.49467,294.7675,216.28037,227.2143,81.87024,321.11776,360.39446,988.90689,669.55451,214.60621,197.56678,835.38059,314.15067,149.02081,684.3288,289.02652,234.0526,371.47402,587.6911,182.29768,185.41241,318.78943
100.4244__535.32,413.23809,94.06027,433.73498,349.09379,492.23224,328.5274,353.15514,889.72201,675.01555,106.93478,107.70706,1133.60071,603.11244,95.47484,1086.6229,373.68508,94.19425,550.01336,138.1179,1078.60339,279.13232,619.13233,215.00398,233.45905,216.00013,339.36285,194.09813,243.3115,568.51586,124.25161,1083.45147,244.33691,789.21991,1091.20187,290.88134,264.34327,174.72875,230.56976,214.89914,603.14247,556.39387,991.3837,374.64792,171.48689,175.37013,283.96783,206.83215,192.23282,219.82841,289.00889,58.47299,817.25183,594.19053,163.62208,234.14636,169.58915,209.37018,176.49119,889.44967,426.48264,340.892,184.80959,662.92446,198.83909,617.05432,117.41544,554.02235,386.03619,1110.52823,193.53792,732.30624,553.1413,1391.73904,605.67801,1011.03065
100.5399__36.73,55.55504,57.52559,129.36915,44.92188,116.90234,89.80482,150.03487,313.59472,117.34957,333.94743,81.72365,231.80432,317.78448,67.87167,158.05968,76.65695,206.36193,27.81921,83.41259,91.15982,77.92247,215.47243,76.22103,299.51365,93.34528,96.90457,64.20199,150.98782,72.41912,16.77952,343.56258,47.8744,256.3206,81.97904,8.04015,305.203,80.63851,105.73755,19.79382,164.07475,157.91472,170.69454,167.14723,70.945,86.98438,109.75282,87.92707,19.30442,220.25456,188.21241,449.89536,19.16987,315.17742,106.18914,163.23358,56.80315,161.08862,70.42022,118.37701,95.9405,259.32102,96.75994,203.77107,88.6156,215.63798,58.69526,24.2488,445.59889,90.769,188.91714,114.52618,239.7184,50.31738,162.87229,118.8478
